,Station 22 - Germantown/Kingsview,Station 23 - Rockville,Station R1 - Bethesda / Chevy Chase Rescue,Station 16 - Silver Spring,Station 13 - Damascus,Station 14 - Upper Montgomery,Station 25 - Kensington,Station 24 - Hillandale,Station 33 - Rockville,Station 34 - Germantown/Milestone,Station  2 - Takoma Park,Station  4 - Sandy Spring,Station  3 - Rockville,Station 40 - Sandy Spring,Station 29 - Germantown,Station  9 - Hyattstown,Station 10 - Cabin John,Station R2 - Wheaton Rescue,Station  5 - Kensington,Station  1 - Silver Spring,Station  6 - Bethesda,Station 31 - Rockville,Station 17 - Laytonsville,Station 15 - Burtonsville,Station 19 - Silver Spring,Station  7 - Chevy Chase,Station 26 - Bethesda,Station  8 - Gaithersburg,Station 20 - Bethesda,Station 21 - Kensington,Station 28 - Gaithersburg,Station 27 - Public Safety Training Academy,Station 30 - Cabin John,Station 32 - Travilah,Station 12 - Hillandale,Station 35 - Clarksburg,Station 11 - Glen Echo,Station 18 - Kensington
Station  2 - Takoma Park,31.492,13.501,8.42,4.413,38.597,41.607,13.807,10.598,17.753,31.663,0.0,19.266,17.433,18.181,31.966,42.847,13.718,8.589,8.347,2.27,7.281,26.087,28.013,12.871,4.629,6.2,12.295,26.364,9.394,11.889,22.458,26.527,18.807,20.914,6.194,36.927,9.993,9.548
Station  4 - Sandy Spring,22.227,13.105,18.927,14.876,21.762,33.395,7.416,8.839,18.65,19.402,19.266,0.0,12.767,4.07,20.766,28.71,20.937,11.704,14.027,17.717,20.061,19.688,11.733,9.771,15.748,18.245,17.253,15.772,17.761,11.395,10.361,13.341,22.837,15.971,13.876,23.772,22.345,10.614
Station  3 - Rockville,14.151,3.987,11.552,14.679,22.866,24.787,7.084,12.867,6.121,14.386,17.433,12.767,0.0,8.736,14.549,25.646,10.359,9.709,9.086,15.17,13.346,9.191,13.286,17.249,12.823,12.527,7.473,9.051,9.918,5.814,6.712,10.09,10.49,4.064,15.837,19.652,14.085,9.322
Station 40 - Sandy Spring,18.808,9.54,16.2,14.025,20.843,30.037,4.647,8.858,14.709,16.565,18.181,4.07,8.736,0.0,17.702,26.698,17.488,9.81,11.565,16.311,17.563,15.803,10.249,11.547,14.071,15.927,13.868,12.349,14.852,8.316,6.895,10.489,18.968,11.912,13.718,21.336,19.518,8.745
Station 29 - Germantown,3.14,18.526,25.676,28.943,12.6,12.832,19.702,25.695,16.8,1.961,31.966,20.766,14.549,17.702,0.0,11.455,22.801,23.896,23.625,29.709,27.509,7.735,10.776,29.157,27.344,26.951,21.203,5.716,24.069,20.158,10.863,7.439,19.777,11.62,29.701,5.498,27.573,23.269
Station  9 - Hyattstown,13.414,29.626,37.011,39.477,9.505,13.906,29.764,35.401,28.252,11.262,42.847,28.71,25.646,26.698,11.455,0.0,34.256,34.478,34.589,40.624,38.84,19.041,16.993,38.134,38.224,38.164,32.585,16.596,35.389,30.958,20.622,16.529,31.075,23.035,39.886,6.023,39.01,33.716
Station 10 - Cabin John,21.241,7.953,5.308,13.806,32.869,29.712,13.567,16.393,6.014,23.26,13.718,20.937,10.359,17.488,22.801,34.256,0.0,11.303,8.538,11.862,6.616,15.41,23.637,20.944,10.661,7.57,3.693,18.221,4.772,9.623,17.064,20.146,5.161,11.375,16.127,28.276,5.146,11.963
Station R2 - Wheaton Rescue,23.807,6.324,7.663,5.047,30.008,34.485,5.267,5.1,12.307,23.406,8.589,11.704,9.709,9.81,23.896,34.478,11.303,0.0,2.828,6.559,8.491,18.858,19.433,9.657,4.262,6.591,7.978,18.201,6.934,3.906,13.943,18.038,15.151,13.636,6.193,28.633,11.075,1.097
Station  5 - Kensington,23.167,5.169,4.958,6.145,30.856,33.464,6.93,7.917,10.287,23.367,8.347,14.027,9.086,11.565,23.625,34.589,8.538,2.828,0.0,6.085,6.051,17.859,20.459,12.411,3.755,4.365,5.412,18.05,4.109,3.761,14.458,18.443,12.66,12.642,8.047,28.637,8.395,3.689
Station  1 - Silver Spring,29.222,11.233,6.568,3.412,36.524,39.358,11.824,9.353,15.583,29.425,2.27,17.717,15.17,16.311,29.709,40.624,11.862,6.559,6.085,0.0,5.767,23.824,25.976,12.344,2.409,4.298,10.15,24.119,7.341,9.672,20.299,24.351,16.863,18.646,5.786,34.692,8.701,7.581
Station  6 - Bethesda,26.46,9.536,1.833,8.56,36.058,35.766,12.955,13.119,11.589,27.595,7.281,20.061,13.346,17.563,27.509,38.84,6.616,8.491,6.051,5.767,0.0,20.731,25.942,17.058,5.555,1.991,6.36,22.291,3.451,9.395,19.615,23.36,11.776,15.922,11.067,32.819,3.002,9.531
